Name,District
Belgaum Division,Bagalkot
Belgaum Division,Belgaum
Belgaum Division,Vijayapura
Belgaum Division,Dharwad
Belgaum Division,Gadag
Belgaum Division,Haveri
Belgaum Division,Uttara Kannada
Kalaburagi Division,Bellary
Kalaburagi Division,Bidar
Kalaburagi Division,Gulbarga
Kalaburagi Division,Koppal
Kalaburagi Division,Raichur
Kalaburagi Division,Yadgir
Bangalore Division,Bangalore Urban
Bangalore Division,Bangalore Rural
Bangalore Division,Chikkaballapur
Bangalore Division,Chitradurga
Bangalore Division,Davanagere
Bangalore Division,Kolar
Bangalore Division,Ramanagara
Bangalore Division,Shimoga
Bangalore Division,Tumkur
Mysore Division,Chamarajnagar
Mysore Division,Chikkamagaluru
Mysore Division,Dakshina Kannada
Mysore Division,Hassan
Mysore Division,Kodagu
Mysore Division,Mandya
Mysore Division,Mysore
Mysore Division,Udupi
