name	latitude	longitude
India	20.593684	78.96288
Andhra Pradesh	15.9128998	79.7399875
Arunachal Pradesh	28.2179994	94.7277528
Assam	26.2006043	92.9375739
Bihar	25.0960742	85.31311939999999
Chhattisgarh	21.2786567	81.8661442
Goa	15.2993265	74.12399599999999
Gujarat	22.258652	71.1923805
Haryana	29.0587757	76.085601
Himachal Pradesh	31.1048294	77.17339009999999
Jammu and Kashmir	33.778175	76.57617139999999
Jharkhand	23.6101808	85.2799354
Karnataka	15.3172775	75.7138884
Kerala	10.8505159	76.2710833
Madhya Pradesh	22.9734229	78.6568942
Maharashtra	19.7514798	75.7138884
Manipur	24.6637173	93.90626879999999
Meghalaya	25.4670308	91.366216
Mizoram	23.164543	92.9375739
Nagaland	26.1584354	94.5624426
Odisha	20.9516658	85.0985236
Punjab	31.1471305	75.34121789999999
Rajasthan	27.0238036	74.21793260000001
Sikkim	27.5329718	88.5122178
Tamil Nadu	11.1271225	78.6568942
Telangana	18.1124372	79.01929969999999
Tripura	23.9408482	91.9881527
Uttar Pradesh	26.8467088	80.9461592
Uttarakhand	30.066753	79.01929969999999
West Bengal	22.9867569	87.8549755
Andaman and Nicobar Islands	11.7400867	92.6586401
Chandigarh	30.7333148	76.7794179
Dadra and Nagar Haveli	20.1808672	73.0169135
Daman and Diu	20.428283	72.8397317
Lakshadweep	10.0760115	73.6303446
National Capital Territory of Delhi	28.6139391	77.2090212
Puducherry	11.9138598	79.8144722
North India	20.593684	78.96288
East India	20.593684	78.96288
Western India	28.16527	83.93208059999999
South India	20.593684	78.96288
Northeast India	20.593684	78.96288
Bagalkot	16.1725355	75.6557206
Bellary	15.1393932	76.9214428
Belgaum	15.8496953	74.4976741
Bangalore Rural	13.2846993	77.6077865
Bangalore Urban	12.9700247	77.6536125
Bidar	17.9148799	77.5046101
Chamarajnagar	11.9261471	76.9437312
Chikkaballapur	13.432366	77.7280396
Chikkamagaluru	13.315258	75.7754018
Chitradurga	14.2305594	76.39845369999999
Dakshina Kannada	12.8437814	75.2479061
Davanagere	14.4663438	75.9238397
Dharwad	15.4589236	75.007808
Gadag	15.4324651	75.6380337
Hassan	13.0068142	76.0995519
Haveri	14.7959027	75.3971254
Gulbarga	17.329731	76.8342957
Kodagu	12.3374942	75.8069082
Kolar	13.1357446	78.1325611
Koppal	15.3507081	76.1554311
Mandya	12.5221567	76.9009191
Mysore	12.2958104	76.6393805
Raichur	16.2120031	77.3439283
Ramanagara	12.7094487	77.2807423
Shimoga	13.9299299	75.568101
Tumkur	13.3391677	77.1139984
Udupi	13.3371151	74.746596
Uttara Kannada	14.7937065	74.6868815
Vijayapura	13.2955371	77.8009872
Yadgir	16.7601963	77.142764
Belgaum Division	15.8496953	74.4976741
Kalaburagi Division	17.3379595	76.8331743
Bangalore Division	13.111051	77.6061751
Mysore Division	12.2958104	76.6393805
