Name,State
East India,West Bengal
East India,Bihar
East India,Jharkhand
East India,Odisha
East India,Andaman and Nicobar Islands
Northeast India,Arunachal Pradesh
Northeast India,Assam
Northeast India,Manipur
Northeast India,Meghalaya
Northeast India,Mizoram
Northeast India,Nagaland
Northeast India,Tripura
Northeast India,Sikkim
Western India,Goa
Western India,Gujarat
Western India,Maharashtra
Western India,Daman and Diu
Western India,Dadra and Nagar Haveli
North India,Punjab
North India,Jammu and Kashmir
North India,Haryana
North India,Himachal Pradesh
North India,Uttar Pradesh
North India,Uttarakhand
North India,National Capital Territory of Delhi
North India,Chandigarh
North India,Rajasthan
North India,Bihar
North India,Madhya Pradesh
South India,Andhra Pradesh
South India,Karnataka
South India,Kerala
South India,Tamil Nadu
South India,Telangana
South India,Andaman and Nicobar Islands
South India,Lakshadweep
South India,Puducherry
