Number	Name	Code	Capital
1	Andhra Pradesh	AP	Hyderabad
2	Arunachal Pradesh	AR	Itanagar
3	Assam	AS	Dispur
4	Bihar	BR	Patna
5	Chhattisgarh	CG	Raipur
6	Goa	GA	Panaji
7	Gujarat	GJ	Gandhinagar
8	Haryana	HR	Chandigarh 
9	Himachal Pradesh	HP	Shimla
10	Jammu and Kashmir	JK	Srinagar
11	Jharkhand	JH	Ranchi
12	Karnataka	KA	Bengaluru
13	Kerala	KL	Thiruvananthapuram
14	Madhya Pradesh	MP	Bhopal
15	Maharashtra	MH	Mumbai
16	Manipur	MN	Imphal
17	Meghalaya	ML	Shillong
18	Mizoram	MZ	Aizawl
19	Nagaland	NL	Kohima
20	Odisha	OD	Bhubaneshwar
21	Punjab	PB	Chandigarh
22	Rajasthan	RJ	Jaipur
23	Sikkim	SK	Gangtok
24	Tamil Nadu	TN	Chennai
25	Telangana	TS	Hyderabad
26	Tripura	TR	Agartala
27	Uttar Pradesh	UP	Lucknow
28	Uttarakhand	UK	Dehradun
29	West Bengal	WB	Kolkata

